hero_x,hero_y,cnt
PATRIOT/JEFF MACE,MISS AMERICA/MADELIN,1894
THING/BENJAMIN J. GR,HUMAN TORCH/JOHNNY S,744
HUMAN TORCH/JOHNNY S,MR. FANTASTIC/REED R,713
MR. FANTASTIC/REED R,THING/BENJAMIN J. GR,708
INVISIBLE WOMAN/SUE ,MR. FANTASTIC/REED R,701
INVISIBLE WOMAN/SUE ,HUMAN TORCH/JOHNNY S,694
INVISIBLE WOMAN/SUE ,THING/BENJAMIN J. GR,668
"WATSON-PARKER, MARY ",SPIDER-MAN/PETER PAR,616
"JAMESON, J. JONAH",SPIDER-MAN/PETER PAR,526
CAPTAIN AMERICA,IRON MAN/TONY STARK ,446
VISION ,SCARLET WITCH/WANDA ,422
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE ,406
MARVEL GIRL/JEAN GRE,CYCLOPS/SCOTT SUMMER,390
STORM/ORORO MUNROE S,WOLVERINE/LOGAN ,389
THOR/DR. DONALD BLAK,CAPTAIN AMERICA,386
CAPTAIN AMERICA,VISION ,385
WASP/JANET VAN DYNE ,CAPTAIN AMERICA,384
SPIDER-MAN/PETER PAR,"PARKER, MAY",380
CAPTAIN AMERICA,SCARLET WITCH/WANDA ,374
IRON MAN/TONY STARK ,SCARLET WITCH/WANDA ,372
SPIDER-MAN/PETER PAR,"ROBERTSON, JOE",356
IRON MAN/TONY STARK ,THOR/DR. DONALD BLAK,344
STORM/ORORO MUNROE S,COLOSSUS II/PETER RA,344
ICEMAN/ROBERT BOBBY ,ANGEL/WARREN KENNETH,335
VISION ,IRON MAN/TONY STARK ,333
COLOSSUS II/PETER RA,WOLVERINE/LOGAN ,331
HAWK,CAPTAIN AMERICA,322
BEAST/HENRY &HANK& P,ICEMAN/ROBERT BOBBY ,319
BEAST/HENRY &HANK& P,CYCLOPS/SCOTT SUMMER,317
ANGEL/WARREN KENNETH,BEAST/HENRY &HANK& P,309
MARVEL GIRL/JEAN GRE,ICEMAN/ROBERT BOBBY ,309
PROFESSOR X/CHARLES ,CYCLOPS/SCOTT SUMMER,308
MARVEL GIRL/JEAN GRE,BEAST/HENRY &HANK& P,307
COLOSSUS II/PETER RA,NIGHTCRAWLER/KURT WA,303
WASP/JANET VAN DYNE ,IRON MAN/TONY STARK ,301
SCARLET WITCH/WANDA ,HAWK,301
BUCKY/BUCKY BARNES,CAPTAIN AMERICA,301
ICEMAN/ROBERT BOBBY ,CYCLOPS/SCOTT SUMMER,299
ANT-MAN/DR. HENRY J.,CAPTAIN AMERICA,295
HAWK,IRON MAN/TONY STARK ,294
ANGEL/WARREN KENNETH,CYCLOPS/SCOTT SUMMER,293
ANT-MAN/DR. HENRY J.,IRON MAN/TONY STARK ,291
"JAMESON, J. JONAH","ROBERTSON, JOE",286
ANGEL/WARREN KENNETH,MARVEL GIRL/JEAN GRE,285
WOLVERINE/LOGAN ,CYCLOPS/SCOTT SUMMER,277
NIGHTCRAWLER/KURT WA,SHADOWCAT/KATHERINE ,276
WASP/JANET VAN DYNE ,SCARLET WITCH/WANDA ,273
HAWK,WASP/JANET VAN DYNE ,269
WOLVERINE/LOGAN ,NIGHTCRAWLER/KURT WA,267
ODIN [ASGARDIAN],THOR/DR. DONALD BLAK,266
